,https://,,,,,21.0,2018-11-14T16:51:34Z,2018-11-14T16:51:34Z,,,0.0,,,,,,,34a9c0c8-eeda-411f-949f-4269d5b10162,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>nil, ""account""=>nil}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/1/settings,Account,,accounts,settings,,2017-06-27T14:43:16Z,2017-06-27T14:43:16Z,,,0.925382,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,b0b5a036-6478-48c4-8283-e86a75ea781d,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/1,Account,,accounts,show,,2017-06-27T14:43:14Z,2017-06-27T14:43:14Z,,,0.275922,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,22611817-a657-4541-93cc-17a1fa5efc9f,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/users/53/masquerade,,,users,masquerade,,2017-06-27T14:43:10Z,2017-06-27T14:43:10Z,,,0.315738,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,16c00401-5df3-4186-8e44-902c89107b92,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/1/settings,Account,,accounts,settings,,2017-06-27T14:42:18Z,2017-06-27T14:42:18Z,,,0.887426,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,5db25f87-5ae9-4f53-b2a5-4e1b5dcc3b72,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/self,Account,,accounts,show,,2017-06-27T14:42:15Z,2017-06-27T14:42:15Z,,,0.41372,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,736055d3-441e-4685-ab15-65c50e355772,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-06-27T14:42:07Z,2017-06-27T14:42:07Z,,,0.332016,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,3ac44479-16d6-4547-925a-78206ac27181,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
ebd7f761267d75ea3c7e2520b6954f1a,https://njenson.instructure.com/accounts/1/external_tools/151,Account,,external_tools,show,,2017-06-26T17:01:34Z,2017-06-26T17:01:34Z,,,0.265038,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",2039,false,,get,216.51.95.36,f78b7a0c-90b4-4147-a1c9-f335033c7547,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
ebd7f761267d75ea3c7e2520b6954f1a,https://njenson.instructure.com/accounts/1/users,Account,,users,index,,2017-06-26T17:01:31Z,2017-06-26T17:01:31Z,,,0.235593,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",,false,,get,216.51.95.36,58388eca-15e0-499c-8854-dbb34c22e3d9,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
ebd7f761267d75ea3c7e2520b6954f1a,https://njenson.instructure.com/accounts/self,Account,,accounts,show,,2017-06-26T17:01:29Z,2017-06-26T17:01:29Z,,,0.327467,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",,false,,get,216.51.95.36,530e1f50-4c63-462f-bd61-fa17bb0d4d67,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
ebd7f761267d75ea3c7e2520b6954f1a,https://njenson.instructure.com/,User,,users,user_dashboard,,2017-06-26T17:01:24Z,2017-06-26T17:01:24Z,,,0.347516,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",,false,,get,216.51.95.36,7c2927be-f6ed-41c5-8233-ff4f575d30f7,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
75aad05d43bc4f11f9647aedcdb052a7,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-06-26T14:04:45Z,2017-06-26T14:04:45Z,,,0.386702,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",,false,,get,216.51.95.36,28b134e2-b0c3-40f1-9f58-e00b59458223,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
75aad05d43bc4f11f9647aedcdb052a7,https://nickjenson.instructure.com/login/otp,,,login/otp,new,,2017-06-26T14:03:49Z,2017-06-26T14:03:49Z,,,0.238739,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",,false,,get,216.51.95.36,3cbdf11a-e64d-4881-9d10-925155785f48,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
1e171a4af2d5fb64ace6d26ecf4d7eb1,https://nickjenson.instructure.com/accounts/1,Account,,accounts,show,11.0,2017-03-09T19:50:15Z,2017-03-09T19:50:15Z,,,1.461565,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,false,,get,216.51.95.36,a33da651-f1fc-4780-b35f-549e5841857b,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
1e171a4af2d5fb64ace6d26ecf4d7eb1,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-03-09T19:50:04Z,2017-03-09T19:50:04Z,,,7.079774,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,false,,get,216.51.95.36,12d55a2f-ee2c-4ebd-8971-1151cc173c54,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
1e171a4af2d5fb64ace6d26ecf4d7eb1,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-03-09T17:06:02Z,2017-03-09T17:06:02Z,,,1.17556,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,false,,get,216.51.95.36,24230559-9ed4-4592-8856-b302bf5470c4,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
1e171a4af2d5fb64ace6d26ecf4d7eb1,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-03-09T16:26:58Z,2017-03-09T16:26:58Z,,,1.743104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,false,,get,216.51.95.36,05300eb9-1095-4f07-b9df-7c991aef11ac,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
1e171a4af2d5fb64ace6d26ecf4d7eb1,https://nickjenson.instructure.com/accounts/self/admin_tools,Account,,accounts,admin_tools,,2017-03-09T16:26:38Z,2017-03-09T16:26:38Z,,,1.20917,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,false,,get,216.51.95.36,c52b1cd9-f8b8-423a-b765-f4c42c747a16,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
